מזהה,סוג,"מק""ט",Name,מחיר רגיל,Categories,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,תגיות,Shipping class, תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,,,
5021,simple,,כוסות קרטון אולף,12.9,בנות > אנה ואלזה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,41,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
5022,simple,,דלי פופקורן אנה ואלזה תלת מימד,,בנות > אנה ואלזה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,42,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
5023,simple,,דלי פופקורן אנה ואלזה,15,בנות > אנה ואלזה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,43,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
5024,simple,,שקיות הפתעה אנה ואלזה,7.9,בנות > אנה ואלזה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,44,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
5025,simple,,כרזות קישוט אנה ואלזה,18.9,בנות > אנה ואלזה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,45,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
5026,simple,,קופסאות פופקורן אנה ואלזה,9.9,בנות > אנה ואלזה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,46,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
5027,simple,,מפה אולף ,22.9,בנות > אנה ואלזה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,47,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
,,,הנסיכה סופיה,,,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,48,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
,,,פריט,מחיר,,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,49,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
5030,simple,,צלחות עגולות הנסיכה סופיה,9.9,בנות > הנסיכה סופיה,1,0,visible,,"נפשיים הקואורדינציה לשעשוע או זהים האדם לבד מסוימים אלימים הממשיכים, בעלי בכל היסטוריה ואת היונקים ופנאי את שמשחקים אחד במקרים. ",,,taxable,,1,,,0,0,,,,,1,,,,,https//celebrationbyorel.com/wpcontent/uploads/2019/08/מפיות_003.jpg,,,,,,,,,50,"{""total""0,""to_translate""{""en""27,""he""27}}",1,1
